,q0001,q0002,q0009,q0025,q0026,q0028,q0029
123,0.6666666666666666,0.3333333333333333,1,1,1.0,1,0.3333333333333333
124,0.6666666666666666,0.0,0,0,1.0,1,0.6666666666666666
125,1.0,0.6666666666666666,0,1,1.0,1,0.3333333333333333
126,0.6666666666666666,1.0,1,0,0.0,1,0.3333333333333333
127,0.3333333333333333,0.6666666666666666,1,1,1.0,1,0.3333333333333333
128,1.0,0.3333333333333333,0,1,1.0,1,0.3333333333333333
129,1.0,0.6666666666666666,1,1,1.0,1,0.3333333333333333
130,0.6666666666666666,0.6666666666666666,1,1,1.0,1,0.6666666666666666
131,0.6666666666666666,0.3333333333333333,0,1,1.0,1,0.3333333333333333
132,0.3333333333333333,0.0,1,0,1.0,1,0.3333333333333333
133,0.6666666666666666,0.3333333333333333,0,0,1.0,1,1.0
134,0.6666666666666666,0.6666666666666666,0,1,1.0,1,0.6666666666666666
135,1.0,0.3333333333333333,1,1,1.0,1,0.3333333333333333
136,0.6666666666666666,0.3333333333333333,0,0,1.0,1,1.0
137,1.0,0.6666666666666666,0,1,1.0,1,0.3333333333333333
138,1.0,0.6666666666666666,1,0,0.5,1,0.6666666666666666
140,0.3333333333333333,0.0,1,0,1.0,1,0.3333333333333333
141,1.0,0.6666666666666666,0,0,1.0,1,0.0
142,0.6666666666666666,1.0,1,1,1.0,0,0.3333333333333333
143,1.0,0.6666666666666666,1,1,1.0,1,0.6666666666666666
144,0.3333333333333333,0.0,0,0,1.0,0,0.6666666666666666
146,0.6666666666666666,0.3333333333333333,0,1,1.0,1,0.6666666666666666
147,0.6666666666666666,0.6666666666666666,0,1,1.0,1,0.3333333333333333
148,0.6666666666666666,0.6666666666666666,1,1,1.0,0,0.6666666666666666
149,1.0,0.6666666666666666,1,0,1.0,0,1.0
150,0.6666666666666666,0.3333333333333333,1,0,1.0,1,0.3333333333333333
151,0.6666666666666666,0.6666666666666666,1,1,1.0,0,0.3333333333333333
152,0.6666666666666666,0.3333333333333333,1,1,1.0,1,1.0
153,0.0,0.0,1,1,1.0,1,0.3333333333333333
154,1.0,0.6666666666666666,1,1,1.0,1,0.3333333333333333
155,0.3333333333333333,0.0,1,0,1.0,1,0.6666666666666666
156,0.6666666666666666,0.3333333333333333,0,1,1.0,1,0.6666666666666666
157,0.6666666666666666,0.3333333333333333,1,1,1.0,1,1.0
158,0.6666666666666666,0.3333333333333333,1,0,1.0,1,1.0
160,0.3333333333333333,0.0,1,1,1.0,1,0.3333333333333333
161,1.0,0.0,1,0,1.0,1,0.6666666666666666
162,0.6666666666666666,0.6666666666666666,0,1,0.0,1,1.0
